iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
320,4.26245029227e-14,0.121107434658,0.116245104492,1.0,0.756097560976,0.75974025974,1.0,0.659090909091,0.640776699029,39.001985029
330,1.00608656695e-30,0.120945985925,0.125660934924,1.0,0.756097560976,0.74025974026,1.0,0.659090909091,0.62962962963,40.243381338
340,1.07550262042e-32,0.110979573256,0.124578881553,1.0,0.772357723577,0.74025974026,1.0,0.681818181818,0.636363636364,41.468570689
350,2.84103565856e-29,0.112044546063,0.124107869058,1.0,0.772357723577,0.753246753247,1.0,0.681818181818,0.648148148148,42.687747564
360,1.01137037738e-16,0.119006103118,0.126720587704,1.0,0.756097560976,0.746753246753,1.0,0.651162790698,0.642201834862,43.913931461
370,6.03549775787e-15,0.125669585522,0.120487564422,1.0,0.747967479675,0.75974025974,1.0,0.626506024096,0.660550458716,45.138858127
380,0.000982590893604,0.133103075114,0.124604708713,0.997963340122,0.731707317073,0.746753246753,0.99706744868,0.611764705882,0.642201834862,46.328030541
390,2.62384085608e-33,0.127743407224,0.121370681904,1.0,0.739837398374,0.753246753247,1.0,0.627906976744,0.641509433962,47.496406506
400,2.30349521337e-30,0.14238621744,0.124799542042,1.0,0.707317073171,0.74025974026,1.0,0.55,0.622641509434,48.71544632
410,1.0580509023e-22,0.148003666883,0.120635866237,1.0,0.69918699187,0.753246753247,1.0,0.55421686747,0.641509433962,49.979089114
420,5.81699248707e-30,0.137788380498,0.129514333174,1.0,0.723577235772,0.733766233766,1.0,0.604651162791,0.616822429907,51.166322957
430,7.62283343362e-20,0.139793681455,0.132951160684,1.0,0.715447154472,0.727272727273,1.0,0.597701149425,0.603773584906,52.354383716
440,1.47691742079e-20,0.137334637053,0.1361596488,1.0,0.715447154472,0.720779220779,1.0,0.597701149425,0.598130841121,53.629930872
